goodness,activation,train_loss,test_error,test_accuracy
pnorm_3,relu,0.5068404917598616,0.04459999999999997,0.9554
sum_huber_like,relu,0.9157761215740907,0.06010000000000004,0.9399
sum_sq,relu,0.5574614440718442,0.07369999999999999,0.9263
neg_sum_sq,relu,0.4519276341013875,0.07410000000000005,0.9259
log1p_sum_sq,relu,0.6487277976587309,0.07769999999999999,0.9223
sqrt_sum_sq,relu,0.6732945909736849,0.09409999999999996,0.9059
mean_sq,relu,1.157836883795177,0.0988,0.9012
mean_abs,relu,1.3061449507449536,0.15190000000000003,0.8481
neg_sum_abs,relu,1.0538653871691819,0.20350000000000001,0.7965
neg_sum_linear,relu,1.110900084769472,0.23409999999999997,0.7659
pnorm_1_5,relu,1.0120788251254575,0.3024,0.6976
sum_abs,relu,1.1431019356064762,0.5134000000000001,0.4866
sum_linear,relu,1.1455572872297137,0.5487,0.4513
sum_softplus,relu,352.89139837170325,0.902,0.098
