activation,goodness,train_loss,test_error,test_accuracy
relu,sum_sq,0.5574614440718442,0.07369999999999999,0.9263
gelu,sum_sq,0.45538002842284264,0.07940000000000003,0.9206
silu,sum_sq,0.5340937221726627,0.08620000000000005,0.9138
leaky_relu,sum_sq,0.41233579349433275,0.08809999999999996,0.9119
student_t_nll_df5,sum_sq,0.5155477105303014,0.08909999999999996,0.9109
student_t_nll_df3,sum_sq,0.5298163829543067,0.09309999999999996,0.9069
student_t_nll_df2,sum_sq,0.5418764033638839,0.09550000000000003,0.9045
tanhshrink,sum_sq,0.6610141439640775,0.0968,0.9032
mish,sum_sq,0.5745688198306036,0.0988,0.9012
bent_identity,sum_sq,1.0750286034658445,0.15259999999999996,0.8474
softsign,sum_sq,1.109406923148649,0.18100000000000005,0.819
selu,sum_sq,1.0405892438922368,0.21950000000000003,0.7805
tanh,sum_sq,1.1142656531739743,0.22109999999999996,0.7789
elu,sum_sq,1.1141906990227124,0.2973,0.7027
hardtanh,sum_sq,1.2101477363430861,0.31020000000000003,0.6898
softplus,sum_sq,1.8439626666670996,0.7705,0.2295
squareplus,sum_sq,5.145961806791049,0.8865,0.1135
